Time (s),ECG_Original (mV),ECG_Filtered (mV),ECG_Denoised (mV)
15.686,0.0,-77.42258253919361,-57.80412852843215
15.687,0.0,-70.93003488889985,-53.82881189463264
15.687,157.1428571428571,54.42715645742058,31.007785769280506
15.687,240.14652014652015,137.2128886000422,117.1996197545512
15.687,223.2234432234432,115.5555739590155,115.78667864115357
15.688,206.3003663003663,82.36473910064643,79.99669761579537
15.688,193.40659340659337,102.74416076894819,70.03117276847364
15.688,187.76556776556774,68.7641184657905,47.79406823441735
15.699,0.0,-64.58403764067586,-44.353165303405056
15.699,0.0,-84.92922758757291,-62.43120378995816
15.699,0.0,-41.979298467328476,-47.07889919718736
15.7,0.0,-40.79235173011001,-36.8337461713395
15.7,0.0,-20.64895495088772,-15.444763850280374
15.7,0.0,-8.821834272490847,-1.074466803059333
15.7,0.0,-2.119354763931206,7.437751980055706
15.701,0.0,6.891832929481906,10.444673241041974
15.701,0.0,6.426476468069417,10.493166239755045
15.701,0.0,8.823300426003243,6.457640247521708
15.701,0.0,1.6100297426171384,-4.557404829990932
15.702,0.0,-3.8409147995115234,-16.453727411992823
15.702,0.0,-14.701130530398661,-16.25299373789843
15.702,0.0,-35.37225397827461,-21.269261630882994
15.702,0.0,-37.51665004765801,-43.180472785845325
15.703,0.0,-83.74676902002597,-71.4281874300953
15.703,0.0,-68.50709767786857,-45.94466350892499
15.713,193.40659340659337,64.26338591368108,55.08909937479851
15.714,193.40659340659337,81.35848125668329,49.70706040165068
15.714,193.40659340659337,37.31458541157795,31.14384827959746
15.714,192.6007326007326,40.921142648560256,27.75809452349489
15.715,193.40659340659337,23.77963279429153,27.110830020378415
15.715,195.8241758241758,27.353007848514316,34.989584962584345
15.715,220.8058608058608,49.02796295359546,44.276829032483874
15.715,195.8241758241758,32.19464791153368,41.29009765153538
15.716,194.2124542124542,29.52062678933611,24.978923397902687
15.716,194.2124542124542,50.63947221906647,23.15410863142257
15.716,141.8315018315018,-18.506695003269897,-20.29679352099115
15.716,0.0,-119.60567634621181,-94.17907094171538
15.717,0.0,-162.79406322194865,-143.70858077613286
15.717,0.0,-111.71794135281873,-78.0793674809231
15.727,193.40659340659337,29.1042400363389,24.176683256490318
15.728,193.40659340659337,65.11544691150043,38.599897211790875
15.728,188.57142857142856,25.841514765684835,27.233093929092565
15.728,180.5128205128205,27.533394363158784,28.85707694877619
15.729,181.3186813186813,18.04560282154631,24.175342191883832
15.729,173.26007326007326,6.553497432355156,6.338162782451441
15.729,170.03663003663002,7.140251226839357,-6.855512416269632
15.729,167.61904761904762,4.314140777300938,0.1720165815298897
15.73,165.2014652014652,9.230338647433108,15.395811612820275
15.73,167.61904761904762,27.57198841533491,26.142213951805648
15.73,178.09523809523807,35.983259401364236,32.82491421003899
15.73,178.09523809523807,78.1520923202637,43.72411916692735
15.731,178.9010989010989,61.59693040938145,45.362484259651666
15.741,0.0,-60.628481101101194,-34.53289677811019
15.741,0.0,-76.67024517657768,-50.3755428034218
15.742,0.0,-34.767454904971395,-39.897619797720736
15.742,0.0,-34.38421560542414,-35.07748578576999
15.742,0.0,-16.50512583166146,-19.794062501182786
15.743,0.0,-7.610034881632728,-9.347071485767705
15.743,0.0,-3.1572318973990967,-2.1494628939944227
15.743,0.0,3.6793664788507954,2.6328600713221726
15.743,0.0,2.0112503097303556,7.705150542220827
15.744,0.0,5.798990322528395,10.386165767211939
15.744,0.0,-0.5070474161060936,7.141603624417965
15.744,0.0,1.2736749863382908,2.1965428411145766
15.744,0.0,-3.831379467646534,2.723665484424475
15.745,0.0,-13.241161246434466,-0.23105567679327876
15.745,0.0,2.969280436456442,-5.39360818942686
15.745,0.0,-38.2252464342705,-30.051639714203343
15.746,0.0,17.689491175413973,16.555109571135286
15.756,176.48351648351647,123.91962375775117,70.92715145023166
15.756,0.0,18.18045043526555,16.05446833052107
15.757,0.0,-37.09744765346196,-28.896252735349393
15.757,0.0,4.257199357374025,-3.6209901138708496
15.757,0.0,-11.332995249216411,0.18300483924880773
15.757,0.0,-2.2130442188822457,2.1837884203919433
15.758,0.0,2.8103641325889654,-2.1363212264368325
15.758,0.0,0.870514412708606,2.1226056486012093
15.758,0.0,4.5517840563269285,6.339432641840195
15.758,0.0,2.1035420948535224,3.40469564016058
15.759,0.0,-3.0000880403417356,-1.9083331160475985
15.759,0.0,-8.210736282113233,-5.227828926807847
15.759,0.0,-18.325034458854574,-11.102617269675614
15.759,0.0,-37.28932658937564,-19.838124855859196
15.76,0.0,-39.377771550408696,-29.242989544807262
15.76,0.0,-84.13273788121315,-53.70150863063211
15.76,0.0,-70.02435822065229,-67.42550100990734
15.771,186.15384615384613,56.2587479960511,25.59403645950408
15.771,188.57142857142856,72.71227976435561,51.988635840582276
15.771,191.7948717948718,32.744960006916166,30.16793268158738
15.772,193.40659340659337,32.05552996806728,11.602467408125325
15.772,189.37728937728937,13.773461689017598,11.523448455518555
15.772,193.40659340659337,8.029194167608939,20.431339510920424
15.772,193.40659340659337,12.166865985190192,11.799982514433665
15.773,193.40659340659337,10.322432434763453,6.174189755449525
15.773,195.8241758241758,22.386117309813798,19.48194071816161
15.773,194.2124542124542,38.099621720967654,40.4348594182766
15.773,193.40659340659337,37.409338066903295,48.494324707835375
